"","age","annual_salary","professional_experience_years","highest_edu_level","gender","industry","job_title"
"58","35-44",122000,"11 - 20 years","Master's degree","Woman","Aerospace contracting","Project engineer"
"59","25-34",45000,"5-7 years","College degree","Woman","Engineering or Manufacturing","Marketing Coordinator"
"60","35-44",88000,"11 - 20 years","College degree","Woman","Computing or Tech","Tech Writer"
"61","35-44",71000,"11 - 20 years","Master's degree","Woman","Nonprofits","Supervisory Archivist"
"62","45-54",71000,"11 - 20 years","PhD","Woman","Education (Higher Education)","Program Manager"
"63","35-44",75000,"11 - 20 years","Master's degree","Woman","Education (Primary/Secondary)","High School Teacher at an independent school"
"64","35-44",80000,"21 - 30 years","Master's degree","Woman","Education (Higher Education)","Manager of Market Research and Data"
"65","35-44",125000,"11 - 20 years","Master's degree","Woman","Computing or Tech","Senior Business Analyst"
"66","35-44",65000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Special Collections Cataloger"
"67","25-34",55000,"2 - 4 years","College degree","Woman","Nonprofits","Graphic Designer / Webmaster"
"68","25-34",90000,"11 - 20 years","College degree","Woman","Art & Design","Senior UX Designer"
"69","35-44",105000,"8 - 10 years","College degree","Woman","Engineering or Manufacturing","Senior Engineer"
"70","35-44",65000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Digital Archivist"
"71","25-34",85000,"5-7 years","Master's degree","Woman","Business or Consulting","Associate Program Manager"
"72","25-34",39520,"8 - 10 years","College degree","Woman","Sales","CSR"
"73","25-34",76000,"8 - 10 years","College degree","Woman","Energy","Fuel Efficiency Program Analyst"
"74","55-64",180000,"31 - 40 years","Master's degree","Woman","Business or Consulting","Senior Vice President of Marketing"
"75","25-34",90000,"5-7 years","Master's degree","Woman","Accounting, Banking & Finance","Accounting Manager"
"76","55-64",65000,"31 - 40 years","Master's degree","Woman","Business or Consulting","Senior Administrative Assistant and Project Specialist"
"77","45-54",98166,"21 - 30 years","College degree","Man","Computing or Tech","senior web application developer"
"78","25-34",63500,"5-7 years","Master's degree","Woman","Education (Primary/Secondary)","Director of Development"
"79","55-64",58,"21 - 30 years","Master's degree","Woman","Environmental regulation","Quality Assurance Lead"
"80","25-34",47700,"5-7 years","College degree","Woman","Nonprofits","Program & Administrative Assistant"
"81","55-64",87000,"31 - 40 years","College degree","Man","Computing or Tech","Chief Engineer"
"82","25-34",39635,"2 - 4 years","College degree","Woman","Education (Higher Education)","Administrative Support Assistant"
"83","25-34",53000,"8 - 10 years","College degree","Man","Government and Public Administration","Administrative Officer"
"84","45-54",47255,"31 - 40 years","College degree","Woman","Education (Primary/Secondary)","Executive Secretary/Secretary to Board of School Trustees"
"85","35-44",196000,"11 - 20 years","College degree","Man","Property or Construction","Senior Project Manager"
"86","45-54",34361,"21 - 30 years","College degree","Woman","Health care","Customer Service Representative"
"87","45-54",150000,"21 - 30 years","College degree","Woman","Engineering or Manufacturing","Senior Device Engineer"
"88","25-34",75000,"5-7 years","College degree","Woman","Hospitality & Events","Graphic Designer"
"89","35-44",20000,"5-7 years","College degree","Woman","Education (Higher Education)","Graduate Student"
"90","25-34",107220,"8 - 10 years","Master's degree","Woman","Computing or Tech","Senior Financial Analyst"
"91","45-54",95000,"21 - 30 years","PhD","Man","Education (Higher Education)","Professor"
"92","45-54",42000,"21 - 30 years","Master's degree","Woman","Sales","Office Manager"
"93","25-34",1e+05,"5-7 years","Master's degree","Woman","Accounting, Banking & Finance","Finance Manager"
"94","35-44",119000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Medical Education Director"
"95","25-34",75000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Associate Director of Donor Relations"
"96","35-44",145000,"2 - 4 years","PhD","Woman","Education (Higher Education)","Assistant Professor of Law"
"97","25-34",48000,"5-7 years","Master's degree","Woman","Marketing, Advertising & PR","Content Writer"
"98","45-54",75000,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","Assistant Director of Finance"
"99","35-44",42000,"11 - 20 years","College degree","Woman","Media & Digital","Digital Marketing Specialist"
"100","35-44",54000,"21 - 30 years","Master's degree","Woman","Nonprofits","Archivist"
"101","55-64",60000,"31 - 40 years","College degree","Woman","Medical Devices","QC Supervisor"
"102","55-64",101500,"31 - 40 years","College degree","Woman","Nonprofits","Content Development Manager"
"103","25-34",36883,"2 - 4 years","College degree","Woman","Academic research (Psychology)","Clinical Research Assistant II"
"104","25-34",85000,"11 - 20 years","College degree","Woman","Media & Digital","news editor"
"105","25-34",62000,"5-7 years","College degree","Woman","Education (Higher Education)","Senior Administrative Assistant"
"106","35-44",130000,"11 - 20 years","College degree","Man","Computing or Tech","Product Manager"
"107","55-64",55000,"21 - 30 years","Master's degree","Woman","Education (Higher Education)","career services professional"
"108","25-34",59015,"8 - 10 years","College degree","Woman","Government and Public Administration","Project Coordinator"
"109","25-34",71000,"5-7 years","College degree","Woman","Business or Consulting","Associate Manager, Education"
"110","45-54",53000,"21 - 30 years","Master's degree","Woman","Social Work","Director"
"111","25-34",63000,"5-7 years","Master's degree","Woman","public library","Senior Librarian"
"112","35-44",95000,"21 - 30 years","College degree","Woman","Engineering or Manufacturing","Project Estimator"
"113","35-44",35000,"11 - 20 years","College degree","Woman","Nonprofits","Customer Advocate"
"114","35-44",56000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Accounts Payable Manager"
"115","35-44",85000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Associate Director"
"116","35-44",62000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Editor"
"117","25-34",63000,"5-7 years","College degree","Woman","Nonprofits","Program Associate"
"118","35-44",86000,"11 - 20 years","College degree","Woman","Nonprofits","Online Sales Support Manager"
"119","35-44",42000,"11 - 20 years","Master's degree","Man","Education (Higher Education)","Research Technologist"
"120","55-64",114000,"21 - 30 years","College degree","Man","Biopharma","RIM Manager"
"121","45-54",73000,"31 - 40 years","High School","Woman","Insurance","Senior Client Service Representative"
"122","45-54",1e+05,"21 - 30 years","Master's degree","Woman","Health care","Clinical analyst"
"123","18-24",60129,"2 - 4 years","Master's degree","Woman","Government and Public Administration","Policy Analyst"
"124","45-54",135000,"11 - 20 years","PhD","Woman","STEM research","Research Scientist"
"125","25-34",130000,"11 - 20 years","College degree","Woman","Computing or Tech","Service Designer"
"126","25-34",26000,"2 - 4 years","Master's degree","Woman","Libraries","Librarian"
"127","25-34",60000,"5-7 years","Master's degree","Woman","Accounting, Banking & Finance","Senior Accountant"
"128","35-44",37000,"11 - 20 years","College degree","Woman","Nonprofits","Administrative Assistant"
"129","25-34",85000,"5-7 years","College degree","Woman","Engineering or Manufacturing","User experience specialist"
"130","35-44",45000,"11 - 20 years","College degree","Woman","Media & Digital","Self-employed writer"
"131","25-34",92000,"8 - 10 years","Master's degree","Woman","Nonprofits","Director of Development"
"132","25-34",65000,"5-7 years","College degree","Man","Engineering or Manufacturing","Production Technician"
"133","35-44",35000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Graphic Designer"
"134","25-34",74000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Compliance Officer"
"135","25-34",102500,"5-7 years","College degree","Man","Engineering or Manufacturing","Director of Intelligence"
"136","35-44",70000,"11 - 20 years","Master's degree","Woman","Nonprofits","Coordinator of Survivor Services"
"137","45-54",140000,"21 - 30 years","College degree","Woman","Computing or Tech","Software Development Manager"
"138","35-44",58000,"11 - 20 years","Master's degree","Woman","Architecture","Project Architect"
"139","35-44",4e+05,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Brand Consultant"
"140","35-44",61200,"11 - 20 years","Master's degree","Woman","Nonprofits","HR director"
"141","25-34",66000,"2 - 4 years","College degree","Woman","Recruitment or HR","Talent Acquisition Specialist"
"142","35-44",70000,"8 - 10 years","College degree","Woman","Computing or Tech","technical support specialist"
"143","25-34",52000,"5-7 years","College degree","Woman","Education (Higher Education)","Communications Specialist"
"144","45-54",75500,"21 - 30 years","College degree","Woman","Property or Construction","CAD Manager"
"145","25-34",57000,"8 - 10 years","Master's degree","Woman","Marketing, Advertising & PR","Content Strategist and Writer"
"146","25-34",83200,"8 - 10 years","Master's degree","Woman","Nonprofits","Associate"
"147","18-24",77500,"2 - 4 years","College degree","Woman","Marketing, Advertising & PR","Manager, Planning"
"148","35-44",31200,"11 - 20 years","College degree","Woman","Retail","Fulfillment Expert"
"149","35-44",215000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Associate Creative Director"
"150","25-34",55000,"8 - 10 years","College degree","Man","Academic Medicine","Administrative Specialist"
"151","45-54",220000,"11 - 20 years","PhD","Woman","Law","Senior Corporate Counsel"
"152","25-34",1e+05,"8 - 10 years","College degree","Woman","Retail","Head of Data & Analytics"
"153","25-34",80000,"5-7 years","Master's degree","Woman","Computing or Tech","Systems Analyst"
"154","25-34",52500,"5-7 years","Master's degree","Woman","Education (Higher Education)","Librarian"
"155","25-34",94000,"2 - 4 years","College degree","Woman","Accounting, Banking & Finance","Lead business controls specialist"
"156","25-34",57000,"5-7 years","College degree","Woman","Engineering or Manufacturing","Product Engineer"
"157","35-44",83000,"8 - 10 years","College degree","Woman","Computing or Tech","Senior Technical Writer"
"158","35-44",90000,"11 - 20 years","College degree","Woman","Nonprofits","Senior Director"
"159","35-44",66950,"8 - 10 years","College degree","Woman","Hospitality & Events","Hotel Sales Manager"
"160","25-34",76000,"2 - 4 years","College degree","Woman","Government and Public Administration","Planner"
"161","25-34",70000,"8 - 10 years","Master's degree","Woman","Nonprofits","Information and Program Manager"
"162","35-44",80000,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","Media and PR"
"163","35-44",70000,"11 - 20 years","Master's degree","Woman","Nonprofits","Technical assistance provider"
"164","25-34",34299,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Library Specialist"
"165","35-44",50000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Assistant Director, Student Affairs"
"166","35-44",85000,"11 - 20 years","College degree","Woman","Hospitality & Events","Director of Client Services"
"167","35-44",87000,"8 - 10 years","High School","Woman","Retail","Loss prevention manager"
"168","35-44",125000,"11 - 20 years","Master's degree","Woman","Law","Associate Attorney"
"169","35-44",55000,"11 - 20 years","College degree","Woman","Commercial Real Estate","Administrative Associate"
"170","55-64",275000,"31 - 40 years","Master's degree","Woman","Law","Attorney"
"171","25-34",48500,"5-7 years","College degree","Woman","Pet care industry (dog training/walking)","Operations Manager"
"172","35-44",139000,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Software engineer"
"173","25-34",54080,"11 - 20 years","College degree","Woman","Law","Paralegal / Legal Assistant"
"174","35-44",170000,"11 - 20 years","Master's degree","Woman","Insurance","Manager & Actuary"
"175","45-54",70000,"21 - 30 years","Master's degree","Man","Education (Primary/Secondary)","Librarian"
"176","25-34",53000,"5-7 years","College degree","Woman","Nonprofits","Communications Associate"
"177","35-44",82160,"11 - 20 years","Master's degree","Woman","Health care","Cytotechnologist"
"178","25-34",71000,"11 - 20 years","College degree","Woman","Recruitment or HR","Onboarding Partner"
"179","18-24",25700,"5-7 years","College degree","Woman","Engineering or Manufacturing","Graduate Research Assitant"
"180","25-34",105000,"8 - 10 years","College degree","Woman","Politics","Deputy C-level"
"181","35-44",77000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Librarian, non-supervisory"
"182","35-44",50000,"11 - 20 years","Master's degree","Woman","Health care","Content Strategist"
"183","35-44",95000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","EOS"
"184","18-24",62000,"1 year or less","College degree","Woman","Business or Consulting","Data Analyst"
"185","35-44",75000,"11 - 20 years","College degree","Woman","Animal Health Product Manufacturing","Sr Associate - Quality Assurance"
"186","45-54",88000,"21 - 30 years","Master's degree","Woman","Computing or Tech","Business Analyst"
"187","25-34",31500,"8 - 10 years","College degree","Woman","Property or Construction","Assistant to Property Managers"
"188","25-34",76000,"5-7 years","Master's degree","Woman","Health care","IT Training Specialist"
"189","25-34",45760,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Reporting Analyst"
"190","25-34",86000,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Communications Manager"
"191","25-34",56000,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Admissions Advisor"
"192","25-34",67000,"8 - 10 years","College degree","Woman","Educational Technology - hybrid between book publishing and technology really","Business Development Specialist"
"193","25-34",125000,"5-7 years","Master's degree","Woman","Law","Associate"
"194","25-34",55000,"5-7 years","College degree","Woman","Property or Construction","Assistant Project Manager"
"195","35-44",125000,"11 - 20 years","College degree","Woman","Computing or Tech","Supply chain manager"
"196","25-34",60000,"8 - 10 years","College degree","Woman","Health care","RN"
"197","25-34",190000,"1 year or less","Master's degree","Woman","Law","Associate"
"198","45-54",60320,"21 - 30 years","College degree","Woman","Utilities & Telecommunications","Land Analyst"
"199","35-44",125000,"5-7 years","PhD","Woman","Pharmaceuticals","Regulatory affairs manager"
"200","45-54",94000,"21 - 30 years","PhD","Woman","Education (Primary/Secondary)","teacher"
"201","35-44",49000,"11 - 20 years","College degree","Woman","Government and Public Administration","Administrative Assistant"
"202","35-44",120000,"11 - 20 years","College degree","Woman","Nonprofits","Director of Development"
"203","55-64",135000,"31 - 40 years","College degree","Woman","Recruitment or HR","Consultant"
"204","35-44",40575,"8 - 10 years","College degree","Woman","Education (Higher Education)","Advancement Accounting Assistant"
"205","25-34",75500,"8 - 10 years","Master's degree","Woman","Nonprofits","Senior monitoring & evaluation adviser"
"206","25-34",115000,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Copy supervisor"
"207","35-44",70000,"8 - 10 years","Master's degree","Woman","Government and Public Administration","Policy analyst"
"208","25-34",110000,"5-7 years","College degree","Woman","Computing or Tech","Visual Designer"
"209","18-24",29000,"1 year or less","College degree","Woman","Agriculture or Forestry","Engineering Student Trainee"
"210","55-64",61000,"31 - 40 years","College degree","Woman","Marketing, Advertising & PR","Graphic Designer"
"211","55-64",47250,"11 - 20 years","Master's degree","Woman","Nonprofits","Information Technology Specialist"
"212","35-44",96000,"11 - 20 years","College degree","Man","Engineering or Manufacturing","Sr. Piping Designer"
"213","35-44",45000,"11 - 20 years","College degree","Woman","Nonprofits","Digital Marketing Specialist"
"214","25-34",72000,"2 - 4 years","Master's degree","Woman","Philanthropy","Senior Program Support Associate"
"215","25-34",78167,"5-7 years","Master's degree","Woman","Government and Public Administration","Editor"
"216","25-34",132500,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Senior Operations Manager"
"217","45-54",124000,"21 - 30 years","Master's degree","Woman","Computing or Tech","IT Manager, Financial Systems"
"218","45-54",108000,"21 - 30 years","College degree","Man","Marketing, Advertising & PR","Sr Analytic Consultant"
"219","35-44",110000,"11 - 20 years","Master's degree","Woman","Accounting, Banking & Finance","Principal Consultant"
"220","35-44",83000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Assistant director, communications"
"221","25-34",110000,"8 - 10 years","Master's degree","Woman","Engineering or Manufacturing","Geostructural Design Engineer"
"222","25-34",45000,"5-7 years","Master's degree","Woman","Education (Higher Education)","Student Success Center Coordinator"
"223","25-34",91000,"11 - 20 years","PhD","Woman","Government and Public Administration","Editor"
"224","35-44",117000,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","QC Chemistry Manager"
"225","45-54",59000,"21 - 30 years","College degree","Woman","Insurance","Supervisor"
"226","35-44",71697,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Research administrator"
"227","45-54",90000,"31 - 40 years","College degree","Woman","Real Estate","Senior Property Manager"
"228","35-44",120000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Director of Alumni Communications"
"229","35-44",80000,"21 - 30 years","High School","Woman","Transport or Logistics","Executive Administrator"
"230","25-34",56000,"8 - 10 years","College degree","Woman","Transport or Logistics","HR Business Partner"
"231","45-54",47840,"21 - 30 years","College degree","Man","Engineering or Manufacturing","Product Support Representative"
"232","45-54",150000,"21 - 30 years","Master's degree","Woman","Consulting","Senior Hazard Mitigation Manager"
"233","45-54",150000,"21 - 30 years","Master's degree","Woman","Computing or Tech","Senior Manager of Customer Enablement"
"234","45-54",105000,"21 - 30 years","PhD","Woman","Environmental Consulting","Senior Consultant"
"235","25-34",1e+05,"2 - 4 years","College degree","Woman","Accounting, Banking & Finance","Equity Analyst"
"236","35-44",97500,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","Project Manager-Tech Lead"
"237","25-34",1e+05,"5-7 years","College degree","Man","Accounting, Banking & Finance","Operations"
"238","45-54",125000,"21 - 30 years","College degree","Woman","Health care","Senior Project Specialist"
"239","35-44",63000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Public Library Director"
"240","35-44",79000,"11 - 20 years","Master's degree","Woman","Archaeology / Cultural Resource Management","Principal Investigator"
"241","25-34",52000,"5-7 years","Master's degree","Man","Museum","Museum Technician"
"242","25-34",109000,"5-7 years","Master's degree","Woman","Government and Public Administration","Economist"
"243","45-54",120000,"21 - 30 years","Master's degree","Woman","Media & Digital","editor"
"244","35-44",70000,"11 - 20 years","Master's degree","Woman","Public library","Managing Librarian"
"245","35-44",110000,"11 - 20 years","College degree","Woman","Biotech","Manager of cGMP Manufacturing, QA, and QC"
"246","18-24",45000,"1 year or less","College degree","Woman","Accounting, Banking & Finance","Accountant"
"247","35-44",70000,"8 - 10 years","Master's degree","Woman","Government and Public Administration","Senior Director of Public Policy"
"248","25-34",115000,"5-7 years","College degree","Man","Recruitment or HR","Talent Management Manager"
"249","25-34",64000,"5-7 years","College degree","Woman","Government and Public Administration","Analyst"
"250","55-64",66000,"31 - 40 years","College degree","Woman","Property or Construction","Accounting Manager"
"251","45-54",80000,"21 - 30 years","College degree","Woman","Engineering or Manufacturing","Quality Manager"
"252","25-34",78000,"5-7 years","Master's degree","Woman","Government and Public Administration","Policy Analyst"
"253","18-24",65000,"2 - 4 years","Master's degree","Woman","Law","Attorney"
"254","65 or over",110000,"41 years or more","Master's degree","Woman","Health care","RN"
"255","35-44",114400,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","Bookkeeper self-employed"
"256","25-34",111500,"11 - 20 years","Master's degree","Woman","Recruitment or HR","Senior Recruiter"
"257","25-34",58300,"5-7 years","College degree","Woman","Education (Higher Education)","Assistant Director of Undergraduate Admissions"
"258","25-34",7e+05,"11 - 20 years","College degree","Woman","Nonprofits","Director of strategic initiatives"
"259","45-54",130000,"11 - 20 years","College degree","Woman","Computing or Tech","Agile Coach"
"260","25-34",75000,"8 - 10 years","Master's degree","Woman","Public Library","Children's Librarian"
"261","35-44",126000,"11 - 20 years","College degree","Woman","Computing or Tech","principle product marketing manager"
"262","45-54",125000,"21 - 30 years","College degree","Man","Engineering or Manufacturing","Sr. Environmental Manager"
"263","35-44",38480,"11 - 20 years","College degree","Woman","Education (Higher Education)","Executive Office & Admin Specialist"
"264","35-44",36000,"11 - 20 years","Master's degree","Man","Nonprofits","Early Intervention developmental specialist"
"265","25-34",55000,"8 - 10 years","Master's degree","Woman","Nonprofits","Grants coordinator"
"266","25-34",53500,"8 - 10 years","College degree","Woman","Marketing, Advertising & PR","Account Executive"
"267","25-34",49600,"8 - 10 years","Master's degree","Woman","Government and Public Administration","Youth Services Librarian"
"268","25-34",50000,"8 - 10 years","College degree","Woman","Nonprofits","Associate Director of Annual Giving"
"269","25-34",57750,"11 - 20 years","Master's degree","Woman","Accounting, Banking & Finance","Cash Logistics Manager"
"270","35-44",62000,"11 - 20 years","Master's degree","Woman","Social Work","Social Worker / Child Development Specialist"
"271","25-34",65000,"8 - 10 years","College degree","Woman","Nonprofits","Legislative Analyst"
"272","25-34",43680,"5-7 years","College degree","Woman","Health care","Medical Receptionist"
"273","25-34",103000,"5-7 years","College degree","Woman","Transport or Logistics","Technology Senior Business Analyst"
"274","25-34",65000,"8 - 10 years","College degree","Woman","Nonprofits","Senior Marketing Specialist"
"275","35-44",75000,"21 - 30 years","Master's degree","Woman","Education (Primary/Secondary)","High School counselor"
"276","18-24",72500,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Developer"
"277","35-44",86000,"11 - 20 years","College degree","Woman","Agriculture or Forestry","Group Leader, Crop Protection Environmental and Human Safety"
"278","25-34",75000,"11 - 20 years","College degree","Woman","Property or Construction","Energy Specialist"
"279","25-34",38000,"8 - 10 years","College degree","Woman","Media & Digital","Editor (Books)"
"280","25-34",63000,"8 - 10 years","Master's degree","Woman","Social Work","Medical Social Worker"
"281","35-44",39000,"11 - 20 years","Master's degree","Woman","Public Library","Children's Librarian"
"282","35-44",105000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Payroll Manager"
"283","45-54",53000,"21 - 30 years","High School","Woman","Property or Construction","Shop Coordinator"
"284","35-44",179000,"11 - 20 years","PhD","Woman","Computing or Tech","Senior user experience researcher"
"285","35-44",77000,"21 - 30 years","College degree","Woman","Marketing, Advertising & PR","Freelance content writer/copy editor"
"286","35-44",55000,"11 - 20 years","College degree","Woman","Media & Digital","Production Editor"
"287","55-64",43500,"21 - 30 years","College degree","Woman","Health care","Account Manager"
"288","25-34",92000,"5-7 years","College degree","Woman","Engineering or Manufacturing","Engineer"
"289","55-64",170000,"21 - 30 years","Master's degree","Woman","Government and Public Administration","Assistant General Counsel"
"290","45-54",87938,"21 - 30 years","College degree","Woman","","Proposal Manager"
"291","25-34",125000,"5-7 years","PhD","Woman","Health care","Pharmacist"
"292","55-64",186000,"31 - 40 years","College degree","Man","Accounting, Banking & Finance","IT Director, Project Management "
"293","25-34",51000,"5-7 years","College degree","Woman","Media & Digital","Production Editor"
"294","25-34",61800,"8 - 10 years","College degree","Man","Accounting, Banking & Finance","Staff Accountant"
"295","25-34",155000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","SVP, risk management"
"296","35-44",40000,"11 - 20 years","College degree","Woman","Art & Design","Product Coordinator"
"297","25-34",71750,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Statistical Analyst"
"298","35-44",70000,"8 - 10 years","Master's degree","Man","Engineering or Manufacturing","Sales Account Manager"
"299","35-44",87000,"21 - 30 years","Master's degree","Woman","Business or Consulting","Managing Consultant"
"300","35-44",157000,"21 - 30 years","College degree","Woman","Computing or Tech","Program Manager"
"301","35-44",65000,"5-7 years","College degree","Woman","""""Government Relations"""" (Lobbying) ","Assistant"
"302","25-34",42120,"2 - 4 years","College degree","Woman","Nonprofits","Senior research assistant"
"303","25-34",65000,"5-7 years","Master's degree","Woman","Business or Consulting","Research Associate"
